UF;Ente Federado;C�digo IBGE_x;Creche Integral P�blica Urbano;Creche Integral P�blica Campo;Creche Integral P�blica Ind�gena;Creche Integral P�blica Quilombola;Creche Integral Conveniada Urbano;Creche Integral Conveniada Campo;Creche Integral Conveniada Ind�gena;Creche Integral Conveniada Quilombola;Creche Parcial P�blica Urbano;Creche Parcial P�blica Campo;Creche Parcial P�blica Ind�gena;Creche Parcial P�blica Quilombola;Creche Parcial Conveniada Urbano;Creche Parcial Conveniada Campo;Creche Parcial Conveniada Ind�gena;Creche Parcial Conveniada Quilombola;Pr�-Escola Integral P�blica Urbano;Pr�-Escola Integral P�blica Campo;Pr�-Escola Integral P�blica Ind�gena;Pr�-Escola Integral P�blica Quilombola;Pr�-Escola Integral Conveniada Urbano;Pr�-Escola Integral Conveniada Campo;Pr�-Escola Integral Conveniada Ind�gena;Pr�-Escola Integral Conveniada Quilombola;Pr�-Escola Parcial P�blica Urbano;Pr�-Escola Parcial P�blica Campo;Pr�-Escola Parcial P�blica Ind�gena;Pr�-Escola Parcial P�blica Quilombola;Pr�-Escola Parcial Conveniada Urbano;Pr�-Escola Parcial Conveniada Campo;Pr�-Escola Parcial Conveniada Ind�gena;Pr�-Escola Parcial Conveniada Quilombola;Ensino Fundamental Integral Urbano;Ensino Fundamental Integral Campo;Ensino Fundamental Integral Ind�gena;Ensino Fundamental Integral Quilombola;Anos Iniciais Fundamental Urbano;Anos Iniciais Fundamental Campo;Anos Iniciais Fundamental Ind�gena;Anos Iniciais Fundamental Quilombola;Anos Finais Fundamental Urbano;Anos Finais Fundamental Campo;Anos Finais Fundamental Ind�gena;Anos Finais Fundamental Quilombola;Ensino M�dio Integral Urbano;Ensino M�dio Integral Campo;Ensino M�dio Integral Ind�gena;Ensino M�dio Integral Quilombola;Ensino M�dio Parcial Urbano;Ensino M�dio Parcial Campo;Ensino M�dio Parcial Ind�gena;Ensino M�dio Parcial Quilombola;EJA Urbano;EJA Campo;EJA Ind�gena;EJA Quilombola;Educa��o Especial - Creche Urbano;Educa��o Especial - Creche Campo;Educa��o Especial - Creche Ind�gena;Educa��o Especial - Creche Quilombola;Educa��o Especial - Pr�-Escola Urbano;Educa��o Especial - Pr�-Escola Campo;Educa��o Especial - Pr�-Escola Ind�gena;Educa��o Especial - Pr�-Escola Quilombola;Educa��o Especial - Demais segmentos Urbano;Educa��o Especial - Demais segmentos Campo;Educa��o Especial - Demais segmentos Ind�gena;Educa��o Especial - Demais segmentos Quilombola;Atendimento Educacional Especializado;Educa��o Profissional e T�cnica;Matr�culas Totais;C�digo IBGE_y;Receita da contribui��o de estados e munic�pios ao Fundeb;Complementa��o VAAF;Complementa��o VAAT;Complementa��o VAAR;Complementa��o da Uni�o Total;Total das receitas previstas;Educa��o Infantil;Anos Iniciais do Ensino Fundamental;Anos Finais do Ensino Fundamental;Ensino M�dio Integral;Ensino M�dio Parcial;EJA;Educa��o Especial;Educa��o Profissional/T�cnica
AC;MANOEL URBANO;1200344;0;0;0;0;0;0;0;0;175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;254;110;0;0;0;0;0;0;89;0;0;0;863;426;0;0;213;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;25;1;0;0;90;0;0;0;122;0;2449;1200344;20149465,47;0;2817884,83;0;2817884,83;22967350,3;578;1289;281;0;0;0;251;0
AC;MARECHAL THAUMATURGO;1200351;0;0;0;0;0;0;0;0;170;87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;201;353;70;0;0;0;0;0;208;0;0;0;404;934;397;0;536;890;204;0;0;0;0;0;0;0;0;0;43;0;13;0;6;1;0;0;20;8;0;0;100;38;3;0;108;0;4794;1200351;43814698,54;0;4584455,45;0;4584455,45;48399153,99;916;1735;1630;0;0;56;284;0
AC;PLACIDO DE CASTRO;1200385;0;22;0;0;0;0;0;0;102;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;250;251;0;0;0;0;0;0;50;0;0;0;401;408;0;0;129;96;0;0;0;0;0;0;0;0;0;0;58;16;0;0;9;6;0;0;35;9;0;0;65;77;0;0;141;0;2172;1200385;18804575,38;0;1694306;0;1694306;20498881,38;731;809;225;0;0;74;342;0
AC;PORTO ACRE;1200807;0;0;0;0;0;0;0;0;198;153;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84;434;0;0;0;0;0;0;0;0;0;0;232;1335;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;108;0;0;12;7;0;0;7;31;0;0;21;112;0;0;56;0;2816;1200807;24518465,97;0;7310771,47;0;7310771,47;31829237,44;926;1567;0;0;0;134;246;0
AC;PORTO WALTER;1200393;0;0;0;0;0;0;0;0;223;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;225;211;0;0;0;0;0;0;0;0;0;0;509;559;0;0;329;484;0;0;0;0;0;0;0;0;0;0;53;354;0;0;5;0;0;0;5;5;0;0;63;44;0;0;57;0;3184;1200393;27145942,77;0;1972366,97;0;1972366,97;29118309,74;732;1068;813;0;0;407;179;0
AC;PORTO WALTER;1200401;3103;0;0;0;0;0;0;0;1264;11;0;0;0;0;0;0;84;0;0;0;0;0;0;0;7036;471;0;0;0;0;0;0;406;0;0;0;5783;670;0;0;0;0;0;0;0;0;0;0;0;0;0;0;551;52;0;0;150;3;0;0;1117;38;0;0;983;78;0;0;1671;0;23471;1200393;27145942,77;0;1972366,97;0;1972366,97;29118309,74;13277;6453;0;0;0;603;4040;0
AC;RODRIGUES ALVES;1200427;0;0;0;0;0;0;0;0;346;584;3;0;0;0;0;0;0;0;0;0;0;0;0;0;190;389;1;0;0;0;0;0;135;10;0;0;416;767;0;0;144;51;0;0;0;0;0;0;0;0;0;0;305;812;0;0;11;18;0;0;17;42;0;0;89;145;0;0;209;0;4684;1200427;41837801,7;0;14549943,62;2565972,31;17115915,93;58953717,63;1601;1183;195;0;0;1117;531;0
AC;SANTA ROSA DO PURUS;1200435;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;20;147;0;0;0;0;0;0;0;0;0;433;48;376;0;310;44;370;0;0;0;0;0;0;0;0;0;77;0;0;0;2;0;0;0;6;1;2;0;25;3;10;0;4;0;2073;1200435;18975186,99;0;1911340,75;0;1911340,75;20886527,74;373;857;724;0;0;77;53;0
AC;SENA MADUREIRA;1200500;0;0;0;0;0;0;0;0;330;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;802;299;0;0;0;0;0;0;0;0;0;0;1960;902;0;0;0;556;0;0;0;0;0;0;0;0;0;0;0;44;0;0;45;0;0;0;87;5;0;0;285;38;0;0;300;0;5653;1200500;46892643,9;0;5099896,93;0;5099896,93;51992540,83;1568;2862;556;0;0;44;760;0
AC;SENADOR GUIOMARD;1200450;15;0;0;0;0;0;0;0;244;50;0;0;0;0;0;0;0;13;0;0;0;0;0;0;435;265;0;0;0;0;0;0;39;0;0;0;654;39;0;0;121;0;0;0;0;0;0;0;0;0;0;0;94;0;0;0;35;2;0;0;69;10;0;0;123;2;0;0;165;0;2375;1200450;20160108;0;2752648,23;0;2752648,23;22912756,23;1138;693;121;0;0;94;406;0
AC;TARAUACA;1200609;130;0;0;0;0;0;0;0;158;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;844;575;0;0;0;0;0;0;0;0;0;0;2209;2092;0;0;0;69;0;0;0;0;0;0;0;0;0;0;248;620;0;0;14;0;0;0;99;1;0;0;183;43;0;0;235;0;7520;1200609;62076656,31;0;7748347,2;1465500,33;9213847,53;71290503,84;1821;4301;69;0;0;868;575;0
AC;XAPURI;1200708;217;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;280;140;0;0;0;0;0;0;46;0;0;0;382;310;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;2;0;0;57;8;0;0;56;0;1543;1200708;13503509,24;0;2042857,11;803203,25;2846060,36;16349569,6;684;692;0;0;0;0;148;0
AC;GOVERNO DO ESTADO;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3433;0;0;0;19275;5177;3052;0;30547;11719;2066;0;7311;40;0;0;17453;8273;846;0;11058;2895;122;0;0;0;0;0;0;0;0;0;8016;2207;73;0;7524;10145;151232;12;1323033618;0;0;0;0;1323033618;0;27504;44332;7351;26572;14075;17820;10145
AL;AGUA BRANCA;2700102;0;74;0;0;0;0;0;0;129;219;0;34;0;0;0;0;0;0;0;0;0;0;0;0;121;380;0;60;0;0;0;0;0;0;0;0;343;891;0;140;0;1281;0;0;0;0;0;0;0;0;0;0;39;698;0;123;49;10;0;2;28;38;0;1;75;283;0;26;492;0;5536;2700102;33953846,8;7030879,24;19719044,15;2873158,92;29623082,31;63576929,11;1145;1374;1281;0;0;860;1004;0
AL;ANADIA;2700201;267;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;199;43;0;0;0;0;0;0;42;50;0;0;0;0;0;0;705;248;0;0;263;206;0;0;340;0;0;0;0;0;0;0;0;0;0;0;252;218;0;0;0;0;0;0;3;2;0;0;75;17;0;0;141;0;3110;2700201;19887499,45;4118137,41;11973578,37;0;16091715,78;35979215,23;645;469;340;0;0;470;238;0
AL;ARAPIRACA;2700300;2498;500;0;101;0;0;0;0;64;214;0;0;0;0;0;0;0;59;0;0;0;0;0;0;2966;1387;0;213;0;0;0;0;1642;478;0;109;7161;3411;0;404;4958;2664;0;269;0;0;0;0;0;0;0;0;579;131;0;0;6;5;0;0;217;105;0;7;829;347;0;32;906;0;32262;2700300;188087049,9;38947496,62;82651736,68;0;121599233,3;309686283,2;8342;10976;7891;0;0;710;2454;0
AL;ATALAIA;2700409;372;497;0;0;0;0;0;0;22;131;0;0;0;0;0;0;0;97;0;0;0;0;0;0;351;575;0;0;0;0;0;0;372;550;0;0;881;1313;0;0;923;831;0;0;0;0;0;0;0;0;0;0;610;1125;0;0;0;2;0;0;19;23;0;0;123;137;0;0;222;0;9176;2700409;55552641,15;11503377,32;23332258,07;4793381,45;39629016,84;95181657,99;2089;2194;1754;0;0;1735;526;0
AL;BARRA DE SANTO ANTONIO;2700508;0;266;0;0;0;0;0;0;59;0;0;0;0;0;0;0;0;92;0;0;0;0;0;0;85;244;0;0;0;0;0;0;669;487;0;0;529;139;0;0;197;56;0;0;0;0;0;0;0;0;0;0;168;46;0;0;2;0;0;0;5;36;0;0;86;45;0;0;152;0;3363;2700508;22079772,76;4572095,08;8931663,46;1942777,97;15446536,51;37526309,27;789;668;253;0;0;214;326;0
AL;BARRA DE SAO MIGUEL;2700607;275;103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;113;79;0;0;0;0;0;0;76;0;0;0;0;0;0;0;201;170;0;0;411;0;0;0;350;0;0;0;0;0;0;0;0;0;0;0;93;0;0;0;0;0;0;0;3;0;0;0;87;0;0;0;81;0;2042;2700607;12876823,05;2666425,05;1502011,6;1043277,64;5211714,29;18088537,34;649;411;350;0;0;93;171;0
AL;BATALHA;2700706;89;0;0;0;0;0;0;0;193;145;0;19;0;0;0;0;29;0;0;0;0;0;0;0;241;143;0;11;0;0;0;0;0;88;0;0;640;218;0;20;866;33;0;0;0;0;0;0;0;0;0;0;820;608;0;44;6;3;0;1;11;3;0;0;110;22;0;0;93;0;4456;2700706;24706789,77;5116075,83;7711588,8;0;12827664,63;37534454,4;894;878;899;0;0;1472;249;0
AL;BELEM;2700805;0;177;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;138;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;231;0;0;0;84;0;0;0;267;0;0;0;0;0;0;0;0;0;0;0;719;0;12;0;0;0;0;0;0;0;0;0;21;0;0;30;0;1679;2700805;11004085,27;2278634,14;5592360,91;0;7870995,05;18875080,32;315;84;267;0;0;731;51;0
AL;BELO MONTE;2700904;0;363;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;304;0;0;0;310;0;0;0;295;0;0;0;0;0;0;0;0;0;0;0;332;0;0;0;0;0;0;0;0;0;0;0;64;0;0;50;0;1924;2700904;13507384,49;2796996,46;8810208,43;1188090,73;12795295,62;26302680,11;569;310;295;0;0;332;114;0
AL;BOCA DA MATA;2701001;353;156;0;0;0;0;0;0;51;0;0;0;0;0;0;0;153;135;0;0;0;0;0;0;200;0;0;0;0;0;0;0;524;64;0;0;453;281;0;0;815;265;0;0;0;0;0;0;0;0;0;0;1026;489;0;0;5;0;0;0;18;0;0;0;127;37;0;0;222;0;5374;2701001;31686765,93;6561431,05;6465244,31;3191123,48;16217798,84;47904564,77;1071;734;1080;0;0;1515;409;0
AL;BRANQUINHA;2701100;412;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;226;95;0;0;0;0;0;0;40;0;0;0;0;0;0;0;401;265;0;0;238;211;0;0;390;57;0;0;0;0;0;0;0;0;0;0;185;506;0;0;0;0;0;0;3;0;0;0;54;55;0;0;106;0;3322;2701100;21284591,92;4407435,66;14173486,89;2251572,92;20832495,47;42117087,39;854;449;447;0;0;691;218;0
AL;CACIMBINHAS;2701209;59;38;0;0;0;0;0;0;210;76;0;0;0;0;0;0;71;65;0;0;0;0;0;0;139;28;0;0;0;0;0;0;21;31;0;92;417;190;0;0;451;170;0;0;0;0;0;0;0;0;0;0;133;678;0;127;6;0;0;0;3;0;0;0;54;23;0;0;57;0;3139;2701209;18561769,39;3843616,3;5629722,01;849656,7;10322995,01;28884764,4;695;607;621;0;0;938;143;0
AL;CAJUEIRO;2701308;490;167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;487;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1496;64;0;0;904;98;0;0;17;0;0;0;0;0;0;0;0;0;0;0;299;54;0;0;0;0;0;0;0;0;0;0;52;7;0;0;94;0;4308;2701308;28044532,75;5807227,8;15787935,41;2128329,99;23723493,2;51768025,95;1223;1002;17;0;0;353;153;0
AL;CAMPESTRE;2701357;219;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;196;5;0;0;0;0;0;0;485;0;0;0;79;17;0;0;339;0;0;0;0;0;0;0;0;0;0;0;447;0;0;0;0;0;0;0;5;0;0;0;24;0;0;0;1;0;1817;2701357;10762950,53;2228701,97;6989861,18;1029140,28;10247703,43;21010653,96;425;96;339;0;0;447;30;0
AL;CAMPO ALEGRE;2701407;694;667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;392;581;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2124;2076;0;0;5;0;0;0;56;147;0;0;0;0;0;0;0;0;0;0;1905;1379;0;0;0;0;0;0;0;0;0;0;182;118;0;0;299;0;10625;2701407;72291612,42;14969543,79;45516952,84;0;60486496,63;132778109,1;2334;5;203;0;0;3284;599;0
AL;CAMPO GRANDE;2701506;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87;127;0;0;0;0;0;0;82;136;0;0;129;188;0;0;83;382;0;0;0;0;0;0;0;0;0;0;327;606;0;0;0;0;0;0;1;0;0;0;16;17;0;0;14;0;2195;2701506;12689771,87;2627692,06;0;1260537,03;3888229,09;16578000,96;215;317;465;0;0;933;48;0
AL;CANAPI;2701605;121;354;0;0;0;0;0;0;122;89;0;0;0;0;0;0;0;50;0;0;0;0;0;0;206;259;0;51;0;0;0;0;0;0;0;0;574;625;0;127;764;425;0;0;0;0;0;0;0;0;0;0;272;1775;0;139;5;3;0;0;9;9;0;0;54;69;0;6;120;0;6228;2701605;36583623,05;7575431,36;19199176,51;3512856,72;30287464,59;66871087,64;1278;1326;1189;0;0;2186;275;0
AL;CAPELA;2701704;235;45;0;0;0;0;0;0;76;10;0;0;0;0;0;0;0;31;0;0;0;0;0;0;317;31;0;0;0;0;0;0;900;158;0;0;281;89;0;0;388;74;0;0;0;0;0;0;0;0;0;0;827;214;0;0;3;0;0;0;14;0;0;0;110;27;0;0;112;0;3942;2701704;23807588,58;4929876,76;13383736,42;2196374,84;20509988,02;44317576,6;762;370;462;0;0;1041;266;0
AL;CARNEIROS;2701803;39;0;0;0;0;0;0;0;197;86;0;0;0;0;0;0;226;0;0;0;0;0;0;0;0;137;0;0;0;0;0;0;559;157;0;0;203;151;0;0;509;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;4;0;0;0;4;0;0;79;15;0;0;104;0;2479;2701803;15890376,23;3290446,5;9817575,14;0;13108021,64;28998397,87;702;354;509;0;0;0;215;0
AL;CHA PRETA;2701902;221;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;145;39;0;0;0;0;0;0;60;0;0;0;344;84;0;0;424;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;9;1;0;0;41;1;0;0;42;0;1451;2701902;8286620,83;1715924,29;3441765,24;753743,62;5911433,15;14198053,98;415;428;424;0;0;40;94;0
AL;COITE DO NOIA;2702009;132;29;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;85;0;0;0;0;0;0;155;74;0;0;0;0;0;0;219;499;0;0;158;65;0;0;0;470;0;0;0;0;0;0;0;0;0;0;0;330;0;43;0;1;0;0;5;2;0;0;12;28;0;1;70;0;2402;2702009;15865930,19;3285384,41;9326202,25;0;12611586,66;28477516,85;507;223;470;0;0;373;119;0
AL;COLONIA LEOPOLDINA;2702108;454;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;307;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1722;252;0;0;2;0;0;0;0;143;0;0;0;0;0;0;0;0;0;0;617;792;0;0;0;0;0;0;0;0;0;0;9;5;0;0;0;0;4406;2702108;29134989,96;6033030,57;19873519,45;2739446,92;28645996,94;57780986,9;864;2;143;0;0;1409;14;0
AL;COQUEIRO SECO;2702207;62;19;0;0;0;0;0;0;54;0;0;0;0;0;0;0;15;21;0;0;0;0;0;0;105;0;0;0;0;0;0;0;35;46;0;0;328;0;0;0;353;0;0;0;0;0;0;0;0;0;0;0;106;11;0;0;1;0;0;0;6;0;0;0;44;0;0;0;39;0;1245;2702207;6964986,17;1442251,21;365329,69;386226,28;2193807,18;9158793,35;283;328;353;0;0;117;90;0
AL;CORURIPE;2702306;208;319;0;0;0;0;0;0;143;1272;0;0;0;0;0;0;0;39;0;0;0;0;0;0;411;1189;0;0;0;0;0;0;0;304;0;0;1022;2849;0;0;1353;1913;0;0;0;0;0;0;0;0;0;0;217;1469;0;0;3;22;0;0;23;57;0;0;136;270;0;0;333;0;13552;2702306;79968092,17;16559125,16;39480296,09;8830816,26;64870237,51;144838329,7;3686;3871;3266;0;0;1686;844;0
AL;CRAIBAS;2702355;0;26;0;0;0;0;0;0;281;275;0;0;0;0;0;0;0;0;0;0;0;0;0;0;252;539;0;0;0;0;0;0;153;0;0;0;510;1149;0;0;266;1230;0;0;0;0;0;0;0;0;0;0;795;1966;0;0;9;4;0;0;15;19;0;0;41;95;0;0;100;0;7725;2702355;43983848,45;9107808,27;27504586,8;1705223,95;38317619,02;82301467,47;1420;1659;1496;0;0;2761;283;0
AL;DELMIRO GOUVEIA;2702405;0;0;0;0;0;0;0;0;304;234;0;7;0;0;0;0;0;0;0;0;0;0;0;0;702;440;0;14;0;0;0;0;194;337;0;53;2019;826;0;0;2104;674;0;0;0;0;0;0;0;0;0;0;117;81;0;0;43;9;0;0;108;53;0;5;545;159;0;0;866;0;9894;2702405;56773435,88;11756169,3;24873415,11;0;36629584,41;93403020,29;1919;2845;2778;0;0;198;1788;0
AL;DOIS RIACHOS;2702504;117;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;193;138;0;0;0;0;0;0;66;0;0;0;303;241;0;0;458;58;0;0;0;0;0;0;0;0;0;0;696;1356;0;0;0;0;0;0;20;1;0;0;26;8;0;0;62;0;3800;2702504;20936616,81;4335379,88;12406234,2;1995945,24;18737559,32;39674176,13;526;544;516;0;0;2052;117;0
AL;ESTRELA DE ALAGOAS;2702553;132;0;0;0;0;0;0;0;0;252;0;0;0;0;0;0;121;0;0;0;0;0;0;0;0;232;0;0;0;0;0;0;0;0;0;0;307;627;0;0;361;414;0;0;0;0;0;0;0;0;0;0;28;648;0;0;0;2;0;0;0;7;0;0;22;50;0;0;76;0;3279;2702553;19170901,78;3969750,35;7653402,05;1794348,7;13417501,1;32588402,88;746;934;775;0;0;676;157;0
